Dates,AAPL UW Equity,ADBE UW Equity,ADI UW Equity,ADP UW Equity,ADSK UW Equity,AEP UW Equity,ALGN UW Equity,AMAT UW Equity,AMD UW Equity,AMGN UW Equity,AMZN UW Equity,ANSS UW Equity,ASML UW Equity,ATVI UW Equity,AVGO UW Equity,BIDU UW Equity,BIIB UW Equity,BKNG UW Equity,CDNS UW Equity,CDW UW Equity,CERN UW Equity,CHKP UW Equity,CHTR UW Equity,CMCSA UW Equity,COST UW Equity,CPRT UW Equity,CRWD UW Equity,CSCO UW Equity,CSX UW Equity,CTAS UW Equity,CTSH UW Equity,DLTR UW Equity,DOCU UW Equity,DXCM UW Equity,EA UW Equity,EBAY UW Equity,EXC UW Equity,FAST UW Equity,FB UW Equity,FISV UW Equity,FOX UW Equity,FOXA UW Equity,GILD UW Equity,GOOG UW Equity,GOOGL UW Equity,HON UW Equity,IDXX UW Equity,ILMN UW Equity,INCY UW Equity,INTC UW Equity,INTU UW Equity,ISRG UW Equity,JD UW Equity,KDP UW Equity,KHC UW Equity,KLAC UW Equity,LRCX UW Equity,LULU UW Equity,MAR UW Equity,MCHP UW Equity,MDLZ UW Equity,MELI UW Equity,MNST UW Equity,MRNA UW Equity,MRVL UW Equity,MSFT UW Equity,MTCH UW Equity,MU UW Equity,NFLX UW Equity,NTES UW Equity,NVDA UW Equity,NXPI UW Equity,OKTA UW Equity,ORLY UW Equity,PAYX UW Equity,PCAR UW Equity,PDD UW Equity,PEP UW Equity,PTON UW Equity,PYPL UW Equity,QCOM UW Equity,REGN UW Equity,ROST UW Equity,SBUX UW Equity,SGEN UW Equity,SIRI UW Equity,SNPS UW Equity,SPLK UW Equity,SWKS UW Equity,TCOM UW Equity,TEAM UW Equity,TMUS UW Equity,TSLA UW Equity,TXN UW Equity,VRSK UW Equity,VRSN UW Equity,VRTX UW Equity,WBA UW Equity,WDAY UW Equity,XEL UW Equity,XLNX UW Equity,ZM UW Equity
5/24/21 9:30,126.68,496.58,161.85,197.6,285.75,86.545,603.64,133.55,77.58,251.75,3234,337.16,653.58,96.19,458.69,189.74,284.76,2338.02,126.03,168.61,77.56,119,695.49,55.11,382.62,127.5,213.03,53.5,98.93,353.18,71.69,108.33,196.92,351.21,141.55,61.89,45.81,52.57,322.17,115.01,36.63,37.75,68.56,2388,2342.8,223.97,545.71,404.45,83.62,56.53,440.81,834.58,72.52,36.72,44.51,317.26,634.3,315.7,140.8,152.36,63.66,1376.56,92.56,164.93,46.82,249.66,146.11,82.85,501.69,114.62,616.01,202.81,242.51,542.5,101.58,92.13,130.38,147.41,99.8,255.55,132.26,505.17,124.24,111.7,154.46,6.035,245.95,120.76,168.4,39.53,225.28,136.85,586.85,187.25,174.76,224.39,213.69,55.02,234.79,71.83,123.61,323.05
5/24/21 10:00,127.56,498.2,162.02,197.86,286.45,86.74,604.8,134.11,77.58,252.46,3245.1,337.93,654.26,96.54,459.62,189.96,284.78,2352.96,126.79,169.12,77.75,119.28,701.46,55.44,383.4,127.4,214.25,53.4,98.85,354.7,71.57,108.43,195.45,356.39,141.93,61.9,45.8,52.57,324.36,115.08,36.67,37.78,68.59,2402,2355.43,223.88,547.99,406.33,83.61,56.97,441.99,837.75,72.17,36.78,44.68,318.22,636.38,317.57,140.93,153.07,63.87,1378.93,92.96,164.02,46.76,250.31,146.26,82.7,503.99,115.07,621.06,203.48,241.835,543.12,101.82,91.98,130.24,147.95,99.29,255.32,132.79,506.31,124.05,112.45,155.26,6.06,248.71,120.99,168.71,39.45,224.08,137.51,594.25,187.94,174.85,225.56,213.66,55.02,234.16,71.88,123.5,319.52
5/24/21 10:30,127.525,499.04,162.08,198.02,286.93,87,608.11,134.04,77.13,253.3,3247.38,338.8,655.75,96.63,459.37,188.9,283.65,2343.83,126.52,169.6,77.84,119.49,706.31,55.62,385.29,127.59,213.37,53.38,99.115,355.89,71.38,108.2,195.44,357.695,141.99,61.61,45.92,52.685,324.72,115.41,36.65,37.77,68.77,2402.24,2355.07,224.6,551.19,406.52,83.85,56.75,440.28,839,72.39,36.87,44.77,317.94,635.5,317.095,141.15,153.14,64.005,1377.05,93.22,163.05,46.66,250.42,146.12,82.51,503.27,114.8,622.09,202.85,241.09,543.81,102.17,92.36,129.68,148.31,98.88,255.23,132.53,505.52,124.1,112.825,155.255,6.075,247.81,120.56,168.28,39.26,223.8,137.47,595.2,187.64,174.59,225.37,214.03,55,234.56,72.08,122.85,319.58
5/24/21 11:00,127.51,498.36,162.27,197.71,286.91,86.76,609.15,134.15,77.1,252.33,3253.16,338.72,655.62,96.39,460.62,190.07,284.42,2349.14,127,169.65,77.69,119.34,705.45,55.59,385.16,127.6,213.55,53.46,99.05,355.14,71.27,107.9,195.5,359.23,142.15,61.685,45.86,52.74,324.79,115.37,36.54,37.67,68.65,2401.36,2354.56,224.91,550.04,405.59,83.84,56.92,439.99,839.5,72.15,36.77,44.76,317.85,637.01,319.58,141.78,153.565,63.835,1382.63,93.2,164.21,46.87,250.36,146.59,82.93,503,114.72,624.99,203.89,241.05,543.56,101.98,92.32,130.36,147.93,98.385,255.75,132.7,504.73,124.3,112.9,155.505,6.065,248.74,120.72,168.82,39.39,223.59,137.7,597.2,188.52,174.43,225.48,213.99,54.99,234.37,71.88,122.9,319.26
5/24/21 11:30,127.535,498.79,162.2,197.48,286.6,86.7,608.32,134.27,77.075,250.94,3254.13,338.6,655.82,96.52,460.13,189.55,283.24,2348.23,127,169.58,77.58,119.4,706.15,55.655,385.04,127.12,213.84,53.58,98.87,354.75,71.2,107.78,195.5,360.22,142.24,61.59,45.77,52.78,325.24,115.375,36.47,37.58,68.52,2404.69,2356.06,224.81,550.3,404.63,83.45,57.01,441.06,839,72.07,36.78,44.63,317.61,636.78,319.3,141.5,153.56,63.705,1382.31,93.49,164.93,47.1,250.65,147.49,83.28,503.63,114.35,625,203.65,241.67,542.6,101.89,92.24,130.2,147.76,99.89,256.16,132.62,503,124.01,112.465,155.4,6.075,248.57,120.44,168.92,39.31,224.9,137.63,599,188.38,174.18,225.07,213.19,54.925,234.57,71.79,122.9,320.58
5/24/21 12:00,127.48,497.76,162.17,197.02,285.68,86.8,604.01,134.55,77.45,249.73,3247.77,338.59,656.17,96.38,459.75,188.965,281.9,2336.29,127.13,169.39,77.32,119.16,706.18,55.565,385.07,127.09,213.96,53.595,98.78,354.55,71.12,107.5,195.48,361.59,142.21,61.53,45.78,52.745,324.82,115.31,36.44,37.58,68.335,2403.16,2355.48,224.51,548.34,404.75,82.92,57.04,440.83,838.49,71.92,36.79,44.675,318.11,636.75,318.9,141.62,153.67,63.735,1371.93,93.53,165,47.29,250.43,147.745,83.29,501.66,114.13,625.77,204.13,242.65,541.41,101.73,92.15,130.68,147.94,99.45,255.65,132.87,501.81,123.26,112.41,154.43,6.08,248.71,120.43,169.16,39.15,224,137.41,597.58,188.55,174.06,225.34,212.85,54.84,234.62,71.835,123.52,319.28
5/24/21 12:30,127.44,496.92,162.58,197.15,286.22,86.95,601.65,134.63,77.5,249.71,3245.32,338.83,656.62,96.51,459.96,188.61,281.26,2336.71,126.9,169.4,77.18,119.29,705.76,55.62,384.84,127.15,212.49,53.6,98.92,354.45,71.07,107.42,194.96,358.86,142.35,61.47,45.88,52.82,324.48,115.59,36.47,37.61,68.28,2403.27,2354.93,224.76,549,403.98,82.96,57.17,439.95,836.26,71.79,36.86,44.91,318.205,637.13,317.28,141.87,154.15,63.88,1373.04,93.73,165.08,47.27,250.29,147.05,83.25,501.12,114.225,625.41,204.74,241.92,541.6,101.72,92.31,130.54,148.1,99.05,255.99,133.22,502.92,123.07,112.35,153.09,6.075,248,119.91,169.49,39.2,222.05,137.64,599.2,188.86,173.54,225.12,212.73,54.87,233.66,72,123.59,319.33
5/24/21 13:00,127.59,497.97,162.59,196.79,286.23,86.81,598.93,134.41,77.67,249.75,3250.13,339.05,656.65,96.51,460.89,189.12,280.4,2342.42,126.75,169.53,77.28,119.35,705.51,55.6,384.75,127.63,212.76,53.62,99.06,354.76,71.1,107.33,194.9,357.83,142.4,61.42,45.84,52.89,324.66,115.48,36.29,37.45,68.245,2406.61,2356.52,225.04,548.95,403.24,83.1,57.17,439.91,836.27,72.07,36.87,44.775,318.39,635.64,317.83,141.68,154.09,63.84,1375.2,93.635,166.25,47.35,250.6,147.02,83.26,500.32,113.79,627.75,205.12,242.14,539.91,101.79,92.21,131.23,147.99,99.32,256.58,133.24,501.87,123.17,112.32,153,6.085,248.24,119.99,169.5,39.2,223.15,137.65,603.69,189,173.64,225.14,212.73,54.89,233.93,71.89,123.79,320.52
5/24/21 13:30,127.6,497.74,162.47,196.92,286.88,86.86,602.57,135.01,77.79,249.48,3246.66,340.03,660.3,96.53,461.11,188.98,279.51,2331.71,127.14,169.7,77.26,119.36,703.95,55.63,384.23,127.89,212.96,53.66,99.21,355.36,71.18,107.2,195.42,358.46,142.35,61.51,45.88,52.9,324.84,115.62,36.26,37.415,68.23,2408.72,2356.78,224.97,549.68,403.43,83.205,57.305,440.06,834.96,71.99,36.86,44.76,318.82,638.96,318.795,141.86,154.18,63.79,1376.31,93.5,166.15,47.59,250.61,147.33,83.32,501.54,113.66,628.95,205.28,241.32,538.88,101.88,92.14,131.1,147.96,99.75,256.17,133.46,503.35,123.25,112.31,154.11,6.095,248.62,119.74,170.05,39.21,221.98,137.63,604.7,189.02,174.14,225.09,213.14,54.89,233.37,71.89,124.08,321.36
5/24/21 14:00,127.74,498.05,162.67,197.12,287.03,86.86,602.23,135.28,77.75,248.84,3248.67,339.36,659.76,96.61,461.84,189.08,278.14,2340.82,126.96,169.63,77.3,119.39,702.98,55.69,384.77,127.9,213.06,53.67,99.255,355.22,71.26,107.58,195.38,359.18,142.37,61.465,45.95,52.92,325.53,115.6,36.32,37.52,68.14,2412,2360.49,225.27,549.64,401.71,83.05,57.32,440.49,835.55,71.92,36.88,44.77,318.86,637.35,319.13,142.07,154.14,63.84,1376.35,93.45,166,47.77,250.77,147.5,83.26,501.14,113.71,628.39,205.45,241.33,538.31,101.9,92.11,131.11,148.01,100.24,256.33,133.63,501.79,123.41,112.55,153.5,6.1,248.72,120.07,169.85,39.22,221.99,137.67,608.3,189.13,174.35,225.2,212.2,55.035,233.64,71.93,124.02,321.58
5/24/21 14:30,127.77,498.54,162.77,197.19,287.38,86.75,601.81,135.38,77.82,248.61,3253.21,339.53,661.06,96.69,461.56,189.43,278.88,2345.93,126.83,169.55,77.35,119.43,703.395,55.64,384.6,128,213.93,53.69,99.37,355.82,71.26,107.65,195.89,359.03,142.44,61.42,45.97,53.01,325.71,115.78,36.35,37.54,67.9,2416.86,2363.76,225.3,549.82,402.17,83.23,57.28,441.46,837.7,71.95,36.875,44.675,318.83,638.87,318.49,142.03,154.73,63.75,1373.46,93.55,165.58,47.74,250.95,148.09,83.38,502.69,114.23,627.82,205.2,242.18,538.37,101.88,92.2,131.09,147.89,100.88,257.035,133.77,501.74,123.26,112.49,153.77,6.135,249.05,120.18,169.76,39.56,222.38,137.59,611.02,189.04,174.45,225.22,212.63,55.04,233.78,71.78,124.14,322.27
